acceleration.x_mean,acceleration.x_std,acceleration.x_max,acceleration.x_min,acceleration.x_var,acceleration.x_freq_mean,acceleration.x_freq_max,acceleration.x_freq_min,acceleration.x_freq_var,acceleration.y_mean,acceleration.y_std,acceleration.y_max,acceleration.y_min,acceleration.y_var,acceleration.y_freq_mean,acceleration.y_freq_max,acceleration.y_freq_min,acceleration.y_freq_var,acceleration.z_mean,acceleration.z_std,acceleration.z_max,acceleration.z_min,acceleration.z_var,acceleration.z_freq_mean,acceleration.z_freq_max,acceleration.z_freq_min,acceleration.z_freq_var,rotationRate.alpha_mean,rotationRate.alpha_std,rotationRate.alpha_max,rotationRate.alpha_min,rotationRate.alpha_var,rotationRate.alpha_freq_mean,rotationRate.alpha_freq_max,rotationRate.alpha_freq_min,rotationRate.alpha_freq_var,rotationRate.beta_mean,rotationRate.beta_std,rotationRate.beta_max,rotationRate.beta_min,rotationRate.beta_var,rotationRate.beta_freq_mean,rotationRate.beta_freq_max,rotationRate.beta_freq_min,rotationRate.beta_freq_var,rotationRate.gamma_mean,rotationRate.gamma_std,rotationRate.gamma_max,rotationRate.gamma_min,rotationRate.gamma_var,rotationRate.gamma_freq_mean,rotationRate.gamma_freq_max,rotationRate.gamma_freq_min,rotationRate.gamma_freq_var,label
-0.002091794,0.023467019,0.056020201,-0.093779752,0.000550701,0.225457456,4.037201745,0.047656944,0.281664189,0.00306381,0.014172556,0.067465345,-0.05087539,0.000200861,0.097777854,2.337241989,0.002595344,0.11638759,-0.005536853,0.03937617,0.192251661,-0.189852051,0.001550483,0.446412261,5.652296027,0.104515505,0.747849294,-0.209666667,2.296431119,9.3,-15.9,5.273595882,32.89218681,269.1941693,0.630003944,2103.364047,-0.251,1.67036399,6.1,-16.6,2.79011586,28.91952355,157.4081467,1.17436245,872.7411575,0.220666667,1.257540683,8.9,-9.2,1.58140857,20.72543989,132.4,0.308336782,546.9361414,0
-0.00241221,0.01197029,0.024898446,-0.098319188,0.000143288,0.163866842,1.991119903,0.051625183,0.062468326,0.00698159,0.009748083,0.034201511,-0.004601787,9.50E-05,0.063361416,4.188953833,0.000324719,0.082150937,-0.005009196,0.015820574,0.038283543,-0.098040357,0.000250291,0.197405866,3.005517472,0.052901029,0.126010195,-0.124833333,0.929824856,2.8,-3.8,0.864574263,15.55324812,74.9,0.372670032,285.326473,-0.141666667,0.966188261,3.6,-7.1,0.933519755,17.54673922,85,0.637928167,263.3319427,0.012666667,0.468086242,1.1,-1.8,0.21910473,7.444259024,55.20174015,0.235610595,75.92300758,0
-0.001715443,0.019915933,0.110486835,-0.073199415,0.000396644,0.150051919,3.125303033,0.005521882,0.216840065,0.000242624,0.012973964,0.06438778,-0.052543837,0.000168324,0.093144943,1.955618228,0.003670928,0.092185263,-0.003935463,0.023718364,0.059644976,-0.10188556,0.000562561,0.200605482,3.200096618,0.004223709,0.306024084,0.1415,2.100487522,10.9,-10.5,4.41204783,35.17746812,173.7459549,1.623160025,1417.375737,-0.353666667,2.628021572,8,-23.9,6.906497385,45.15649864,247.5963343,1.8,2172.930631,0.0665,0.920347479,3.2,-8.2,0.847039482,15.62473877,89.38547,0.483264489,265.8975383,0
-0.000586175,0.036415032,0.094964291,-0.148278697,0.001326055,0.334511941,7.089317086,0.055211029,0.682614606,-0.0028842,0.014829674,0.03243258,-0.072923123,0.000219919,0.103526906,2.280625041,0.000108999,0.126004961,0.001894674,0.032799624,0.118417252,-0.118678005,0.001075815,0.294319766,5.298487579,0.052115032,0.559943124,-0.148,2.352002521,15.5,-15.2,5.53191586,39.42782886,228.3045861,1.440756061,1772.206312,-0.22,1.873958253,9.1,-19.2,3.511719533,33.58312436,134.043497,0.963355119,1004.733758,0.230333333,1.401065617,5.2,-5.5,1.962984864,18.90179359,217.0439048,0.123315673,850.382199,0
-0.001019931,0.019268487,0.101777803,-0.074135301,0.000371275,0.216660388,2.94753155,0.053055067,0.176075913,0.003075151,0.013247695,0.103352531,-0.031373517,0.000175501,0.127887646,2.097754739,0.004586303,0.09444404,-0.003475714,0.017786201,0.04472825,-0.088856552,0.000316349,0.143095861,3.403276985,0.003305972,0.176264942,-0.047666667,1.01145091,3.3,-2.6,1.023032944,16.37609532,112.5789121,0.4,345.9835021,0.061333333,0.75490929,2.5,-2.7,0.569888036,13.5315047,59.91871937,0.573049019,160.5183805,0.004166667,0.655603283,2.4,-2.2,0.429815665,10.6375692,73.51687251,0.24385062,144.3121216,0
-0.007873448,0.043994083,0.092793404,-0.168251729,0.001935479,0.327252465,7.090715077,0.001472153,1.089452661,-0.00151514,0.059215827,0.319554233,-0.217725296,0.003506514,0.400143759,8.857283379,0.001824592,1.941664378,-0.001583253,0.117748927,0.65417544,-0.431065629,0.01386481,1.212780158,18.25933005,0.258181935,6.835689408,-0.006666667,5.721171958,24.9,-40.7,32.73180857,85.019777,501.421826,1.24E-14,12378.01752,-0.822333333,6.031780155,24.1,-34.7,36.38237184,92.116464,724.4202621,3.981488636,13713.33706,0.056666667,3.076159969,17.6,-10.4,9.462760156,44.52942598,414.2830901,1.128438161,3687.250221,0
0.007500461,0.067334823,0.223620331,-0.23400136,0.004533978,0.552329276,10.20056008,0.049598174,2.444539581,-0.008695855,0.036160675,0.067430051,-0.316478767,0.001307594,0.505259291,5.217512789,0.166819388,0.57333284,0.00759617,0.060786316,0.263543943,-0.168861644,0.003694976,0.547952103,8.441814782,0.072705755,1.947660342,-0.707833333,5.752362247,23.1,-39.1,33.08967142,89.25015518,546.1063437,0.529150262,12155.7398,-0.415833333,5.962212615,30.3,-44.7,35.54797927,105.0092762,579.9100925,2.639065169,10370.04191,0.092666667,3.349404485,17.7,-16.5,11.21851041,51.36013187,391.6188867,1.331596936,4087.176854,0
0.011090476,0.052133898,0.258908991,-0.191105352,0.002717943,0.400409641,7.883017542,0.003805369,1.54151937,-0.006797905,0.027456237,0.100730158,-0.213633626,0.000753845,0.452970662,4.078743173,0.16942984,0.274097603,0.002001656,0.053123871,0.268816079,-0.220619529,0.002822146,0.569628861,9.0134285,0.154897245,1.368392163,0.237666667,2.658243465,13.2,-18.6,7.066258319,43.16609315,228.6024875,1.502906425,2403.268402,-0.291666667,3.006853144,11.4,-19,9.041165832,43.44509332,304.4892131,0.628058232,3579.223867,-0.163833333,2.159006907,10.5,-11.7,4.661310824,32.26020409,216.0857855,0.899722771,1767.509232,0
0.004319566,0.028946112,0.104148307,-0.08119093,0.000837877,0.232634619,4.135285516,0.006237262,0.458964897,-0.006737006,0.025095007,0.097879695,-0.129419902,0.000629759,0.179388025,4.042203831,0.00159393,0.372278152,0.005796216,0.065344043,0.335512416,-0.242912808,0.004269844,0.588839803,10.0040061,0.099159853,2.231061923,0.478333333,3.662383419,17.5,-17.6,13.41305231,55.39733117,345.7472888,0.554313203,5102.835699,-0.1285,2.98997285,12.4,-17.7,8.939937646,44.10404186,408.7064375,0.678061669,3419.763491,0.313,2.015134142,12.7,-7.5,4.060765609,31.78226657,193.4297437,0.238001651,1481.067531,0
0.000894722,0.035630522,0.134149967,-0.14051877,0.001269534,0.229374386,6.162496437,0.002060124,0.708318652,-0.001739158,0.019495846,0.084840947,-0.088789535,0.000380088,0.125083982,3.819667884,0.000948038,0.213841512,0.003524971,0.024486503,0.115446923,-0.094052791,0.000599589,0.260592487,3.501386378,0.050911931,0.298700514,0.201666667,1.503928264,5.5,-6.8,2.261800223,24.67353034,138.0643597,0.612660904,770.4369006,-0.108166667,1.680800938,8.4,-13.1,2.825091792,29.16892501,128.791965,0.613000216,848.4238138,0.050333333,1.074316907,5.4,-6,1.154156817,17.55984783,94.57239856,1.019932971,384.5117443,0
