_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
67499853a88c9300588b98be,2024-11-29T10:32:51.022Z,0,-0.1,-0.1,-1,0.30000000000000004,-1.9,0
67499853a88c9300588b98bf,2024-11-29T10:32:51.039Z,0,0,-0.1,-1,-0.4,-1.8000000000000003,0
67499853a88c9300588b98c0,2024-11-29T10:32:51.055Z,-0.2,-0.1,-0.1,-0.9000000000000001,0,-0.6000000000000001,0
67499853a88c9300588b98c1,2024-11-29T10:32:51.072Z,-0.1,0,0,-1.3,1,0.6000000000000001,0
67499853a88c9300588b98c2,2024-11-29T10:32:51.088Z,0,0,-0.1,-2.2,0.6000000000000001,1.1,0
67499853a88c9300588b98c3,2024-11-29T10:32:51.105Z,0,-0.1,-0.1,-2.9,-1,1,0
67499853a88c9300588b98c4,2024-11-29T10:32:51.122Z,0,-0.1,0.1,-2.6,-1.4,0.8,0
67499853a88c9300588b98c5,2024-11-29T10:32:51.139Z,0,-0.1,0.1,-0.30000000000000004,-0.8,0.8,0
67499853a88c9300588b98c6,2024-11-29T10:32:51.155Z,0,-0.1,0.1,1.4,1.1,0.30000000000000004,0
67499853a88c9300588b98c7,2024-11-29T10:32:51.172Z,0,0,0.1,1.7,1.1,0.30000000000000004,0
67499853a88c9300588b98c8,2024-11-29T10:32:51.188Z,0,0,0,0.6000000000000001,-0.6000000000000001,0.30000000000000004,0
67499853a88c9300588b98c9,2024-11-29T10:32:51.205Z,0,-0.1,0,0.4,-1.6,-0.1,0
67499853a88c9300588b98ca,2024-11-29T10:32:51.222Z,0.1,-0.1,0,0.8,-0.9000000000000001,-1,0
67499853a88c9300588b98cb,2024-11-29T10:32:51.238Z,0,0,0,1.3,0.30000000000000004,-0.8,0
67499853a88c9300588b98cc,2024-11-29T10:32:51.255Z,0,-0.1,-0.1,0.8,1.8000000000000003,-0.5,0
67499853a88c9300588b98cd,2024-11-29T10:32:51.272Z,-0.1,-0.1,0,1.8000000000000003,-0.5,0.1,0
67499853a88c9300588b98ce,2024-11-29T10:32:51.288Z,-0.1,-0.1,0,2.4000000000000004,-1,0.30000000000000004,0
67499853a88c9300588b98cf,2024-11-29T10:32:51.305Z,0,0,0,2.6,0.30000000000000004,0,0
67499853a88c9300588b98d0,2024-11-29T10:32:51.322Z,0.1,0,-0.1,1.7,1,-1.3,0
67499853a88c9300588b98d1,2024-11-29T10:32:51.338Z,0.1,-0.1,-0.2,0,0.8,-2.3,0
67499853a88c9300588b98d2,2024-11-29T10:32:51.355Z,0,-0.1,-0.2,-2,0.6000000000000001,-2.3,0
67499853a88c9300588b98d3,2024-11-29T10:32:51.372Z,0,-0.1,-0.2,-3.6000000000000005,-0.30000000000000004,-1.6,0
67499853a88c9300588b98d4,2024-11-29T10:32:51.388Z,0,0,-0.1,-4.7,-0.6000000000000001,-2,0
67499853a88c9300588b98d5,2024-11-29T10:32:51.405Z,0.1,0,-0.1,-5.300000000000001,-0.1,-2.7,0
67499853a88c9300588b98d6,2024-11-29T10:32:51.422Z,0,-0.1,-0.1,-5.7,1.3,-2.7,0
67499853a88c9300588b98d7,2024-11-29T10:32:51.439Z,-0.2,0,0.1,-4.5,3.3000000000000007,-0.9000000000000001,0
67499853a88c9300588b98d8,2024-11-29T10:32:51.455Z,-0.30000000000000004,0,0.2,-2.4000000000000004,2.9,1.9,0
67499853a88c9300588b98d9,2024-11-29T10:32:51.472Z,-0.1,0,0.2,-0.5,0.8,3.3000000000000007,0
67499853a88c9300588b98da,2024-11-29T10:32:51.489Z,0,-0.1,0.2,1,-1.5,3.1,0
67499853a88c9300588b98db,2024-11-29T10:32:51.505Z,0,-0.1,0.2,2.4000000000000004,-2.5,2.8,0
67499853a88c9300588b98dc,2024-11-29T10:32:51.522Z,0.1,-0.1,0.1,3.4,-1.3,2.7,0
67499853a88c9300588b98dd,2024-11-29T10:32:51.538Z,0.2,-0.1,0,4.1,0,2.2,0
67499853a88c9300588b98de,2024-11-29T10:32:51.555Z,0.2,-0.1,-0.1,3.6000000000000005,-0.4,1.2000000000000002,0
67499853a88c9300588b98df,2024-11-29T10:32:51.572Z,0.2,-0.1,-0.2,1.3,-1.4,-2.4000000000000004,0
67499853a88c9300588b98e0,2024-11-29T10:32:51.588Z,0.2,-0.1,-0.2,0.8,0.2,-3.9,0
67499853a88c9300588b98e1,2024-11-29T10:32:51.605Z,0.1,0,-0.2,0.30000000000000004,2,-4.300000000000001,0
67499853a88c9300588b98e2,2024-11-29T10:32:51.622Z,0,0,-0.2,-1.4,2.9,-3.9,0
67499853a88c9300588b98e3,2024-11-29T10:32:51.638Z,-0.2,0,-0.2,-3.2,2.5,-2.4000000000000004,0
67499853a88c9300588b98e4,2024-11-29T10:32:51.655Z,-0.2,0,-0.2,-4.6,1.5,-1,0
67499853a88c9300588b98e5,2024-11-29T10:32:51.672Z,-0.30000000000000004,0,0,-3.3000000000000007,-1.4,1,0
67499853a88c9300588b98e6,2024-11-29T10:32:51.689Z,-0.2,-0.1,0.1,-1,-2,2.7,0
67499853a88c9300588b98e7,2024-11-29T10:32:51.705Z,-0.1,-0.1,0.1,0.6000000000000001,-0.8,3.2,0
67499853a88c9300588b98e8,2024-11-29T10:32:51.722Z,0.1,0,0.1,0.7,0.2,2.3,0
67499853a88c9300588b98e9,2024-11-29T10:32:51.739Z,0.2,0,0,-0.6000000000000001,0.5,0.7,0
67499853a88c9300588b98ea,2024-11-29T10:32:51.755Z,0.2,-0.1,-0.1,-2,0.30000000000000004,-0.5,0
67499853a88c9300588b98eb,2024-11-29T10:32:51.772Z,0.1,-0.1,-0.1,-3,0.1,-1.3,0
67499853a88c9300588b98ec,2024-11-29T10:32:51.789Z,0.1,-0.1,0,-2.9,0.5,-2,0
67499853a88c9300588b98ed,2024-11-29T10:32:51.805Z,0.1,0,0,-2.2,1.6,-3.2,0
67499853a88c9300588b98ee,2024-11-29T10:32:51.822Z,-0.1,0,0.1,-0.6000000000000001,1.3,-2.7,0
67499853a88c9300588b98ef,2024-11-29T10:32:51.838Z,-0.2,0,0.1,0.8,0.6000000000000001,-0.6000000000000001,0
67499858a88c9300588b98f1,2024-11-29T10:32:56.021Z,-0.1,-0.1,0,-0.1,0.7,0.6000000000000001,0
67499858a88c9300588b98f2,2024-11-29T10:32:56.038Z,0,0,0,-0.30000000000000004,0.8,0.4,0
67499858a88c9300588b98f3,2024-11-29T10:32:56.055Z,0,-0.1,-0.1,-1,0.30000000000000004,0.30000000000000004,0
67499858a88c9300588b98f4,2024-11-29T10:32:56.072Z,0,-0.1,0,-1,-0.1,-0.1,0
67499858a88c9300588b98f5,2024-11-29T10:32:56.088Z,0.1,-0.1,0,-0.8,-0.1,-0.8,0
67499858a88c9300588b98f6,2024-11-29T10:32:56.105Z,0.1,-0.1,0,-0.4,0.7,-1.1,0
67499858a88c9300588b98f7,2024-11-29T10:32:56.122Z,0,-0.1,0,0.30000000000000004,0.7,-1.1,0
67499858a88c9300588b98f8,2024-11-29T10:32:56.138Z,0,0,0,0.4,0.9000000000000001,-0.9000000000000001,0
67499858a88c9300588b98f9,2024-11-29T10:32:56.155Z,-0.1,0,0,0,1,-0.30000000000000004,0
67499858a88c9300588b98fa,2024-11-29T10:32:56.172Z,-0.1,0,0,-0.4,0.8,-0.1,0
67499858a88c9300588b98fb,2024-11-29T10:32:56.188Z,-0.1,0,0,-0.30000000000000004,-0.30000000000000004,0.5,0
67499858a88c9300588b98fc,2024-11-29T10:32:56.205Z,-0.1,0,0,0.1,0.1,0.6000000000000001,0
67499858a88c9300588b98fd,2024-11-29T10:32:56.222Z,0,0,0,0,0.7,0.30000000000000004,0
67499858a88c9300588b98fe,2024-11-29T10:32:56.238Z,0,0,0,0.30000000000000004,0.6000000000000001,0.30000000000000004,0
67499858a88c9300588b98ff,2024-11-29T10:32:56.255Z,0,-0.1,0,0.1,0.6000000000000001,0.5,0
67499858a88c9300588b9900,2024-11-29T10:32:56.271Z,0,-0.1,0,-0.1,0.1,0.8,0
67499858a88c9300588b9901,2024-11-29T10:32:56.288Z,0,-0.1,0,-0.30000000000000004,-0.30000000000000004,0.8,0
67499858a88c9300588b9902,2024-11-29T10:32:56.305Z,0,-0.1,0,-0.4,-0.30000000000000004,0.30000000000000004,0
67499858a88c9300588b9903,2024-11-29T10:32:56.322Z,0,-0.1,0,-0.6000000000000001,0.4,-0.1,0
67499858a88c9300588b9904,2024-11-29T10:32:56.338Z,0,-0.1,0,0.2,0.1,-0.1,0
67499858a88c9300588b9905,2024-11-29T10:32:56.355Z,0,-0.1,0,0.8,-0.2,-0.2,0
67499858a88c9300588b9906,2024-11-29T10:32:56.372Z,0.1,-0.1,-0.1,0.6000000000000001,-0.2,-0.6000000000000001,0
67499858a88c9300588b9907,2024-11-29T10:32:56.388Z,0.1,0,0,-0.30000000000000004,0.2,-1.8000000000000003,0
67499858a88c9300588b9908,2024-11-29T10:32:56.405Z,0,0,0,0.30000000000000004,0.6000000000000001,-1.6,0
67499858a88c9300588b9909,2024-11-29T10:32:56.422Z,-0.1,-0.1,0.1,0.9000000000000001,1.1,-0.9000000000000001,0
67499858a88c9300588b990a,2024-11-29T10:32:56.438Z,-0.1,-0.1,0,0.8,1,-0.4,0
67499858a88c9300588b990b,2024-11-29T10:32:56.455Z,-0.1,0,0,0.6000000000000001,0.2,0.1,0
67499858a88c9300588b990c,2024-11-29T10:32:56.472Z,-0.1,0,0,0.8,-0.8,0.5,0
67499858a88c9300588b990d,2024-11-29T10:32:56.488Z,-0.1,0,0,0.6000000000000001,-0.9000000000000001,0.8,0
67499858a88c9300588b990e,2024-11-29T10:32:56.505Z,-0.1,-0.1,-0.1,0.30000000000000004,-0.6000000000000001,1.1,0
67499858a88c9300588b990f,2024-11-29T10:32:56.522Z,0,-0.1,-0.1,0,-0.6000000000000001,0.8,0
67499858a88c9300588b9910,2024-11-29T10:32:56.538Z,0.1,-0.1,0,0.7,-1.1,0.5,0
67499858a88c9300588b9911,2024-11-29T10:32:56.555Z,0.1,-0.1,0,1.6,-0.7,0.30000000000000004,0
67499858a88c9300588b9912,2024-11-29T10:32:56.571Z,0.1,-0.1,0,2,0.30000000000000004,-0.30000000000000004,0
67499858a88c9300588b9913,2024-11-29T10:32:56.588Z,0.1,0,-0.1,1.4,1.4,-1.2000000000000002,0
67499858a88c9300588b9914,2024-11-29T10:32:56.605Z,0.1,-0.1,-0.1,0.1,1.7,-1.3,0
67499858a88c9300588b9915,2024-11-29T10:32:56.622Z,0,-0.1,-0.1,-0.5,0.9000000000000001,-0.9000000000000001,0
67499858a88c9300588b9916,2024-11-29T10:32:56.638Z,-0.1,0,0,-0.1,0,-0.8,0
67499858a88c9300588b9917,2024-11-29T10:32:56.655Z,-0.1,0,0,0.5,-0.30000000000000004,-0.7,0
67499858a88c9300588b9918,2024-11-29T10:32:56.672Z,-0.1,0,0,1,0.7,-0.4,0
67499858a88c9300588b9919,2024-11-29T10:32:56.688Z,-0.1,0,0,0.7,1.6,0.1,0
67499858a88c9300588b991a,2024-11-29T10:32:56.705Z,-0.1,-0.1,0,0.6000000000000001,0.8,1.1,0
67499858a88c9300588b991b,2024-11-29T10:32:56.722Z,0,-0.1,0,0.6000000000000001,-0.4,1.8000000000000003,0
67499858a88c9300588b991c,2024-11-29T10:32:56.739Z,0.1,0,0.1,0.5,-0.30000000000000004,1.5,0
67499858a88c9300588b991d,2024-11-29T10:32:56.755Z,0.1,0,0.1,1.2000000000000002,0.8,0.5,0
67499858a88c9300588b991e,2024-11-29T10:32:56.771Z,0,-0.1,0.1,2,1.4,-0.4,0
67499858a88c9300588b991f,2024-11-29T10:32:56.788Z,0,-0.1,0,3.1,0.5,0.2,0
67499858a88c9300588b9920,2024-11-29T10:32:56.805Z,0,-0.1,0,3.5,-0.30000000000000004,0.1,0
67499858a88c9300588b9921,2024-11-29T10:32:56.822Z,0,-0.1,0,3.6000000000000005,-0.8,-0.7,0
67499858a88c9300588b9922,2024-11-29T10:32:56.838Z,0,0,-0.1,3.3000000000000007,-0.8,-1.2000000000000002,0
6749985da88c9300588b9924,2024-11-29T10:33:01.021Z,0,-0.1,-0.1,1.4,0,-0.4,0
6749985da88c9300588b9925,2024-11-29T10:33:01.038Z,0,-0.1,-0.1,1.3,-0.4,-0.1,0
