_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
67499e5ba88c9300588bb500,2024-11-29T10:58:31.591Z,0,0,0.1,0,0,-0.1,0
67499e5ba88c9300588bb501,2024-11-29T10:58:31.608Z,0,0.1,0.1,0.5,0.1,-0.1,0
67499e5ba88c9300588bb502,2024-11-29T10:58:31.625Z,0.1,0,0.2,-0.1,0.5,-0.5,0
67499e5ba88c9300588bb503,2024-11-29T10:58:31.641Z,0,0.1,0.2,0.3,0.1,-1.4,0
67499e5ba88c9300588bb504,2024-11-29T10:58:31.658Z,-0.1,0.2,0.3,0.6,-0.9,-1.2,0
67499e5ba88c9300588bb505,2024-11-29T10:58:31.675Z,-0.1,0.2,0.3,0.6,-2.4,-0.3,0
67499e5ba88c9300588bb506,2024-11-29T10:58:31.691Z,0,0.2,0.3,1.5,-3.1,0.1,0
67499e5ba88c9300588bb507,2024-11-29T10:58:31.708Z,0,0.1,0.2,2.4,-2.3,0.1,0
67499e5ba88c9300588bb508,2024-11-29T10:58:31.725Z,0,0.1,-0.8,3.3,-1.2,-0.6,0
67499e5ba88c9300588bb509,2024-11-29T10:58:31.741Z,-0.6,0.1,0.9,-5.4,-2.9,4.9,0
67499e5ba88c9300588bb50a,2024-11-29T10:58:31.758Z,0.6,-0.1,1.2,2.8,-10.1,-0.8,0
67499e5ba88c9300588bb50b,2024-11-29T10:58:31.775Z,0.2,0.1,0,7.4,0.6,-2.8,0
67499e5ba88c9300588bb50c,2024-11-29T10:58:31.791Z,-0.2,0.4,-0.6,4.9,10.2,0.6,0
67499e5ba88c9300588bb50d,2024-11-29T10:58:31.808Z,-0.3,0.2,-0.2,1.6,6.9,3.4,0
67499e5ba88c9300588bb50e,2024-11-29T10:58:31.825Z,0,0,0,-2.7,-1.4,2.9,0
67499e5ba88c9300588bb50f,2024-11-29T10:58:31.841Z,0.1,0,0,-4.9,-4.3,1,0
67499e5ba88c9300588bb510,2024-11-29T10:58:31.858Z,0,0.1,0.1,-3.2,-0.8,1.4,0
67499e5ba88c9300588bb511,2024-11-29T10:58:31.875Z,-0.1,0.2,0.3,-0.2,2.5,2.4,0
67499e5ba88c9300588bb512,2024-11-29T10:58:31.891Z,0.1,0,0.3,2.4,3.8,2.6,0
67499e5ba88c9300588bb513,2024-11-29T10:58:31.908Z,0.2,0,0.1,1.6,2.4,0.6,0
67499e5ba88c9300588bb514,2024-11-29T10:58:31.925Z,0,0,0,-0.3,0.8,0.7,0
67499e5ba88c9300588bb515,2024-11-29T10:58:31.941Z,0,0,0.1,-3,-0.9,0.4,0
67499e5ba88c9300588bb516,2024-11-29T10:58:31.958Z,0,0.1,0.3,-2.2,-0.3,1.1,0
67499e5ba88c9300588bb517,2024-11-29T10:58:31.974Z,0.1,0.1,0.2,-0.6,0.5,1.1,0
67499e5ba88c9300588bb518,2024-11-29T10:58:31.991Z,0.1,0,0.2,0.8,1.9,0.1,0
67499e5ba88c9300588bb519,2024-11-29T10:58:32.008Z,0,0.1,0.2,0.9,2.2,-0.2,0
67499e5ba88c9300588bb51a,2024-11-29T10:58:32.025Z,0,0.1,0.1,0,-0.5,-0.7,0
67499e5ba88c9300588bb51b,2024-11-29T10:58:32.043Z,-0.1,0.2,0.1,-0.9,-1.7,-0.4,0
67499e5ba88c9300588bb51c,2024-11-29T10:58:32.058Z,-0.2,0.2,0.2,-1,-1.8,0.6,0
67499e5ba88c9300588bb51d,2024-11-29T10:58:32.075Z,0.1,0.2,0.2,0.1,-0.9,0.8,0
67499e5ba88c9300588bb51e,2024-11-29T10:58:32.091Z,-0.1,0.1,0.2,1,1,0.1,0
67499e5ba88c9300588bb51f,2024-11-29T10:58:32.108Z,-0.2,0.1,0.2,1.6,0.3,0.2,0
67499e5ba88c9300588bb520,2024-11-29T10:58:32.125Z,-0.2,0.2,0.2,1.3,-0.9,0.9,0
67499e5ba88c9300588bb521,2024-11-29T10:58:32.141Z,-0.1,0.2,0.2,0.5,-2.3,1.3,0
67499e5ba88c9300588bb522,2024-11-29T10:58:32.158Z,-0.1,0.2,0.2,1.7,-2.8,1.9,0
67499e5ba88c9300588bb523,2024-11-29T10:58:32.174Z,-0.2,0.2,0.1,2.7,0.1,3.2,0
67499e5ba88c9300588bb524,2024-11-29T10:58:32.191Z,-0.1,0.1,0,2.7,1.9,3.7,0
67499e5ba88c9300588bb525,2024-11-29T10:58:32.208Z,-0.4,0.1,0,2.2,1.4,5.4,0
