_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
67499b60a88c9300588ba1e8,2024-11-29T10:45:52.332Z,0,0,0,1.6,1.5,1.1,0
67499b60a88c9300588ba1e9,2024-11-29T10:45:52.348Z,0,0,0,1.1,2.5,1.3,0
67499b60a88c9300588ba1ea,2024-11-29T10:45:52.365Z,0,0,-0.1,-0.6000000000000001,1.3,1.1,0
67499b60a88c9300588ba1eb,2024-11-29T10:45:52.381Z,0,0,-0.2,-3.3000000000000007,-0.6000000000000001,0.4,0
67499b60a88c9300588ba1ec,2024-11-29T10:45:52.398Z,0.1,-0.1,0,-2,1.6,0.1,0
67499b60a88c9300588ba1ed,2024-11-29T10:45:52.415Z,0.1,-0.1,0,-0.30000000000000004,5.300000000000001,-0.8,0
67499b60a88c9300588ba1ee,2024-11-29T10:45:52.432Z,0.1,-0.1,0.1,0.7,8.2,-1.1,0
67499b60a88c9300588ba1ef,2024-11-29T10:45:52.448Z,0,0,0.2,1.4,6.2,-0.4,0
67499b60a88c9300588ba1f0,2024-11-29T10:45:52.465Z,-0.1,0,0.30000000000000004,2.4000000000000004,-9.600000000000001,-0.9000000000000001,0
67499b60a88c9300588ba1f1,2024-11-29T10:45:52.481Z,-0.1,0,0.30000000000000004,2.4000000000000004,-9.600000000000001,-0.9000000000000001,0
67499b60a88c9300588ba1f2,2024-11-29T10:45:52.498Z,0,0,0.30000000000000004,5,-9.3,-2,0
67499b60a88c9300588ba1f3,2024-11-29T10:45:52.515Z,0.1,0,0.2,6.4,-4.5,-1.9,0
67499b60a88c9300588ba1f4,2024-11-29T10:45:52.531Z,0.1,0,-0.2,6.1000000000000005,-0.30000000000000004,-1.2000000000000002,0
67499b60a88c9300588ba1f5,2024-11-29T10:45:52.548Z,0,0,-0.30000000000000004,2,2.3,0.1,0
67499b60a88c9300588ba1f6,2024-11-29T10:45:52.565Z,0,0,-0.30000000000000004,2,2.3,0.1,0
67499b60a88c9300588ba1f7,2024-11-29T10:45:52.582Z,0,0,-0.4,-3.1,1.6,-1.2000000000000002,0
67499b60a88c9300588ba1f8,2024-11-29T10:45:52.598Z,0,0.1,-0.2,-4.6,1.5,-2.1,0
67499b60a88c9300588ba1f9,2024-11-29T10:45:52.615Z,-0.1,0.1,-0.1,-4.4,0.7,-2.4000000000000004,0
67499b60a88c9300588ba1fa,2024-11-29T10:45:52.631Z,-0.1,0.1,-0.1,-3.6000000000000005,1.1,-1.3,0
67499b60a88c9300588ba1fb,2024-11-29T10:45:52.648Z,-0.2,0.1,0.1,-2.2,1.9,0.6000000000000001,0
67499b60a88c9300588ba1fc,2024-11-29T10:45:52.665Z,-0.2,0,0.2,1,0.8,3.3000000000000007,0
67499b60a88c9300588ba1fd,2024-11-29T10:45:52.681Z,-0.2,0,0.2,1,0.8,3.3000000000000007,0
67499b60a88c9300588ba1fe,2024-11-29T10:45:52.698Z,-0.1,0,0.1,0.9000000000000001,-2.1,1.9,0
67499b60a88c9300588ba1ff,2024-11-29T10:45:52.715Z,0,0,0,0.4,-3.3000000000000007,1.4,0
67499b60a88c9300588ba200,2024-11-29T10:45:52.731Z,0,0,-0.1,-0.8,-1.9,1.4,0
67499b60a88c9300588ba201,2024-11-29T10:45:52.748Z,0,0,-0.1,-1.7,0.4,1.9,0
67499b60a88c9300588ba202,2024-11-29T10:45:52.765Z,0.1,0,-0.1,-1.7,1.6,2.2,0
67499b60a88c9300588ba203,2024-11-29T10:45:52.781Z,0.1,0,-0.1,-1.7,3.2,0.5,0
67499b60a88c9300588ba204,2024-11-29T10:45:52.798Z,0.1,0,0,-2.3,2.6,-0.7,0
67499b60a88c9300588ba205,2024-11-29T10:45:52.815Z,0,0,0.1,-2.2,0.7,-1.2000000000000002,0
67499b60a88c9300588ba206,2024-11-29T10:45:52.832Z,0,0,0.1,-1.2000000000000002,-1.4,-1,0
67499b60a88c9300588ba207,2024-11-29T10:45:52.849Z,0,0,0.2,0.2,-2.1,-0.8,0
67499b60a88c9300588ba208,2024-11-29T10:45:52.865Z,0,0,0.2,2.9,-1.7,-0.6000000000000001,0
67499b60a88c9300588ba209,2024-11-29T10:45:52.881Z,0,0,0.2,2.9,-1.7,-0.6000000000000001,0
