_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
6749943aa88c9300588b87cf,2024-11-29T10:15:22.380Z,-0.1,0,0,-2.2,0.30000000000000004,0.30000000000000004,0
6749943aa88c9300588b87d0,2024-11-29T10:15:22.397Z,-0.1,0,0,-0.8,0.4,0.30000000000000004,0
6749943aa88c9300588b87d1,2024-11-29T10:15:22.414Z,-0.1,0,0,0.4,-0.2,0.30000000000000004,0
6749943aa88c9300588b87d2,2024-11-29T10:15:22.430Z,-0.1,-0.1,0,1,-0.4,0.6000000000000001,0
6749943aa88c9300588b87d3,2024-11-29T10:15:22.447Z,-0.1,-0.1,0,1,1.5,1.8000000000000003,0
6749943aa88c9300588b87d4,2024-11-29T10:15:22.463Z,0.1,-0.2,-0.1,0.30000000000000004,2.4000000000000004,2.4000000000000004,0
6749943aa88c9300588b87d5,2024-11-29T10:15:22.480Z,0.2,-0.1,-0.1,-0.2,2.1,1.2000000000000002,0
6749943aa88c9300588b87d6,2024-11-29T10:15:22.497Z,0.2,-0.1,0,-0.6000000000000001,0.1,-1.4,0
6749943aa88c9300588b87d7,2024-11-29T10:15:22.513Z,0.1,-0.1,0,-1,-1.8000000000000003,-2.4000000000000004,0
6749943aa88c9300588b87d8,2024-11-29T10:15:22.530Z,-0.1,-0.1,0,-1,-2.6,-1.5,0
6749943aa88c9300588b87d9,2024-11-29T10:15:22.547Z,-0.1,-0.1,0,-0.30000000000000004,-1.1,0.4,0
6749943aa88c9300588b87da,2024-11-29T10:15:22.563Z,0.1,-0.1,0,0.6000000000000001,0.6000000000000001,0.8,0
6749943aa88c9300588b87db,2024-11-29T10:15:22.580Z,0.1,-0.1,0,1.1,1,-0.7,0
6749943aa88c9300588b87dc,2024-11-29T10:15:22.597Z,0.1,-0.1,-0.1,0.2,-1.4,-2.1,0
6749943aa88c9300588b87dd,2024-11-29T10:15:22.613Z,-0.1,-0.1,-0.1,-0.9000000000000001,-5,-1.9,0
6749943aa88c9300588b87de,2024-11-29T10:15:22.630Z,0,-0.1,-0.1,-1,-5,-1.8000000000000003,0
6749943aa88c9300588b87df,2024-11-29T10:15:22.647Z,0,-0.1,0,-0.4,-0.5,-2.2,0
6749943aa88c9300588b87e0,2024-11-29T10:15:22.664Z,0,0,-0.1,-0.1,1.9,-2.3,0
6749943aa88c9300588b87e1,2024-11-29T10:15:22.680Z,-0.1,0,-0.2,-0.8,-0.6000000000000001,-1.8000000000000003,0
6749943aa88c9300588b87e2,2024-11-29T10:15:22.697Z,-0.1,0,-0.2,-3,-3.3000000000000007,-1,0
6749943aa88c9300588b87e3,2024-11-29T10:15:22.713Z,-0.1,0,-0.1,-3.2,-4.2,-0.5,0
6749943aa88c9300588b87e4,2024-11-29T10:15:22.730Z,-0.1,0,0.1,1,0.9000000000000001,0.4,0
6749943aa88c9300588b87e5,2024-11-29T10:15:22.747Z,-0.1,0,0,1.8000000000000003,2.3,0.8,0
6749943aa88c9300588b87e6,2024-11-29T10:15:22.764Z,-0.1,0,-0.1,1,0.8,1.2000000000000002,0
6749943aa88c9300588b87e7,2024-11-29T10:15:22.780Z,-0.1,0,-0.2,-0.5,-0.5,1.6,0
6749943aa88c9300588b87e8,2024-11-29T10:15:22.797Z,-0.1,-0.1,-0.1,-1.5,-1,1.5,0
6749943aa88c9300588b87e9,2024-11-29T10:15:22.813Z,0,0,0,-1,-0.30000000000000004,1.3,0
6749943aa88c9300588b87ea,2024-11-29T10:15:22.831Z,-0.1,0,0.1,0.6000000000000001,0.30000000000000004,1.6,0
6749943aa88c9300588b87eb,2024-11-29T10:15:22.848Z,-0.1,0,0,1.2000000000000002,0.5,2.2,0
