_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
67499739a88c9300588b90c6,2024-11-29T10:28:09.309Z,-0.30000000000000004,-0.1,0.4,13.200000000000003,-14.200000000000001,2.1,0
67499739a88c9300588b90c7,2024-11-29T10:28:09.325Z,-0.1,-0.2,0.4,18.5,-13.700000000000001,4.1,0
67499739a88c9300588b90c8,2024-11-29T10:28:09.342Z,0.1,0,0.2,20.599999999999998,-7.200000000000001,4.6,0
67499739a88c9300588b90c9,2024-11-29T10:28:09.359Z,0.2,0.1,0,19.6,0.2,2.2,0
67499739a88c9300588b90ca,2024-11-29T10:28:09.375Z,0.1,0.1,-0.30000000000000004,16.4,3.2,0.1,0
67499739a88c9300588b90cb,2024-11-29T10:28:09.392Z,0,0,-0.5,10.5,1.8000000000000003,-0.6000000000000001,0
67499739a88c9300588b90cc,2024-11-29T10:28:09.409Z,0.1,0,-0.6000000000000001,3.9,-0.4,-1.3,0
67499739a88c9300588b90cd,2024-11-29T10:28:09.425Z,0,0,-0.5,-3.6000000000000005,-2.4000000000000004,-2.4000000000000004,0
67499739a88c9300588b90ce,2024-11-29T10:28:09.442Z,0,0,-0.4,-8.100000000000001,-3.8,-2.7,0
67499739a88c9300588b90cf,2024-11-29T10:28:09.459Z,0,0,-0.2,-9.2,-3.5,-2.8,0
67499739a88c9300588b90d0,2024-11-29T10:28:09.475Z,0.1,0,0,-3.8,1.1,-2,0
67499739a88c9300588b90d1,2024-11-29T10:28:09.492Z,0,-0.1,0,-0.6000000000000001,2.5,-0.7,0
67499739a88c9300588b90d2,2024-11-29T10:28:09.509Z,-0.2,-0.2,0.1,3.6000000000000005,-2.4000000000000004,2.4000000000000004,0
67499739a88c9300588b90d3,2024-11-29T10:28:09.525Z,-0.30000000000000004,-0.2,0,6.4,-5.300000000000001,4.1,0
67499739a88c9300588b90d4,2024-11-29T10:28:09.542Z,-0.1,-0.1,0.1,8.5,-3.4,3.6000000000000005,0
67499739a88c9300588b90d5,2024-11-29T10:28:09.559Z,0.2,0,0.1,9.3,-0.4,2,0
67499739a88c9300588b90d6,2024-11-29T10:28:09.575Z,0.30000000000000004,0,0,9.2,3,0,0
67499739a88c9300588b90d7,2024-11-29T10:28:09.592Z,0.2,-0.1,0,9.3,2.8,-0.30000000000000004,0
67499739a88c9300588b90d8,2024-11-29T10:28:09.609Z,-0.2,-0.1,0,9.700000000000001,-1.9,1.7,0
67499739a88c9300588b90d9,2024-11-29T10:28:09.625Z,-0.1,-0.1,0,7.6,-2,4.1,0
67499739a88c9300588b90da,2024-11-29T10:28:09.642Z,0.30000000000000004,0,-0.2,4.1,1.6,3.2,0
