_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
67499ce5a88c9300588ba947,2024-11-29T10:52:21.120Z,-0.1,0.4,0.2,5.5,-1.6,11.3,0
67499ce5a88c9300588ba948,2024-11-29T10:52:21.136Z,-0.2,0.5,0.1,4.7,-2.4,12,0
67499ce5a88c9300588ba949,2024-11-29T10:52:21.153Z,-0.1,0.5,-0.1,3.6,-2.1,12.2,0
67499ce5a88c9300588ba94a,2024-11-29T10:52:21.170Z,0.1,0.4,0,2.8,-0.2,11.7,0
67499ce5a88c9300588ba94b,2024-11-29T10:52:21.186Z,0.4,0.1,0.3,3.5,-0.1,9.6,0
67499ce5a88c9300588ba94c,2024-11-29T10:52:21.203Z,0.4,0,0.4,4.8,-1.3,7.3,0
67499ce5a88c9300588ba94d,2024-11-29T10:52:21.220Z,0.4,-0.2,0.3,6.8,-1.6,6,0
67499ce5a88c9300588ba94e,2024-11-29T10:52:21.236Z,0.4,-0.3,0.2,8.5,-0.4,4.7,0
67499ce5a88c9300588ba94f,2024-11-29T10:52:21.253Z,0.4,-0.3,0.1,9.3,-0.6,3.9,0
67499ce5a88c9300588ba950,2024-11-29T10:52:21.270Z,0.4,-0.3,-0.2,6.7,-0.9,3.1,0
67499ce5a88c9300588ba951,2024-11-29T10:52:21.286Z,0.5,-0.2,-0.4,3.4,-0.9,1.5,0
67499ce5a88c9300588ba952,2024-11-29T10:52:21.303Z,0.4,-0.2,0,1.9,-1.8,-0.3,0
67499ce5a88c9300588ba953,2024-11-29T10:52:21.319Z,0.4,-0.2,0.3,3.7,-1.3,-1.7,0
67499ce5a88c9300588ba954,2024-11-29T10:52:21.336Z,-0.1,0.1,0.3,5.5,0.2,-0.7,0
67499ce5a88c9300588ba955,2024-11-29T10:52:21.353Z,-0.4,0.2,0.2,6.5,1,0.5,0
67499ce5a88c9300588ba956,2024-11-29T10:52:21.369Z,-0.5,0.4,0.3,7.1,0,3.2,0
67499ce5a88c9300588ba957,2024-11-29T10:52:21.386Z,-0.4,0.4,0.3,8,-1.5,5.8,0
67499ce5a88c9300588ba958,2024-11-29T10:52:21.403Z,-0.1,0.2,0.1,8.6,-2.3,6.8,0
