_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
67499aefa88c9300588b9f1e,2024-11-29T10:43:58.036Z,0,-0.1,0,-0.4,-0.1,-1.9,0
67499aefa88c9300588b9f1f,2024-11-29T10:43:58.053Z,0,0,0,-0.2,-0.7,-2.1,0
67499aefa88c9300588b9f20,2024-11-29T10:43:58.069Z,-0.1,0,-0.1,-0.2,-0.5,-1.5,0
67499aefa88c9300588b9f21,2024-11-29T10:43:58.086Z,-0.1,0,-0.1,-0.5,0.5,-0.8,0
67499aefa88c9300588b9f22,2024-11-29T10:43:58.103Z,-0.1,0,0,-1.1,1,-0.3,0
67499aefa88c9300588b9f23,2024-11-29T10:43:58.120Z,-0.1,0.1,0,-1.7,-0.6,0.2,0
67499aefa88c9300588b9f24,2024-11-29T10:43:58.136Z,-0.1,0,0.1,-1.3,-0.8,0.7,0
67499aefa88c9300588b9f25,2024-11-29T10:43:58.153Z,-0.1,0,0.1,-0.6,0,1.3,0
67499aefa88c9300588b9f26,2024-11-29T10:43:58.169Z,0,0,0.1,0.1,1.2,1.5,0
67499aefa88c9300588b9f27,2024-11-29T10:43:58.186Z,0,0,0,0.3,1.4,1.1,0
67499aefa88c9300588b9f28,2024-11-29T10:43:58.203Z,0,0,0,-0.2,-1.1,0.4,0
67499aefa88c9300588b9f29,2024-11-29T10:43:58.220Z,0,0,0,-0.2,-1.1,0.4,0
67499aefa88c9300588b9f2a,2024-11-29T10:43:58.236Z,0,0,0.1,0,-0.3,1.3,0
67499aefa88c9300588b9f2b,2024-11-29T10:43:58.253Z,0,-0.1,0.1,0.7,0.5,2,0
67499aefa88c9300588b9f2c,2024-11-29T10:43:58.269Z,0.1,-0.1,0,1.3,0.6,2,0
67499aefa88c9300588b9f2d,2024-11-29T10:43:58.286Z,0.2,0,-0.1,1.4,-0.1,0,0
67499aefa88c9300588b9f2e,2024-11-29T10:43:58.303Z,0.2,0,-0.1,1.4,-0.1,0,0
67499aefa88c9300588b9f2f,2024-11-29T10:43:58.320Z,0.1,0.1,-0.1,-0.4,0.6,-1.6,0
67499aefa88c9300588b9f30,2024-11-29T10:43:58.336Z,0,0.1,0,-1.2,0.3,-1,0
67499aefa88c9300588b9f31,2024-11-29T10:43:58.353Z,-0.1,0,0,-1.4,0.3,-0.2,0
67499aefa88c9300588b9f32,2024-11-29T10:43:58.370Z,-0.1,-0.1,0.1,-1,0.1,0.5,0
67499aefa88c9300588b9f33,2024-11-29T10:43:58.386Z,0,0,0.1,-0.7,0.2,0.8,0
67499aefa88c9300588b9f34,2024-11-29T10:43:58.403Z,0,0,0.1,0.5,-0.4,0.2,0
67499aefa88c9300588b9f35,2024-11-29T10:43:58.420Z,0,0,0.1,0.5,-0.4,0.2,0
67499aefa88c9300588b9f36,2024-11-29T10:43:58.436Z,0.1,0,0,1.1,-0.1,-0.8,0
67499aefa88c9300588b9f37,2024-11-29T10:43:58.453Z,0,0,0,1.1,0.6,-0.8,0
67499aefa88c9300588b9f38,2024-11-29T10:43:58.469Z,0,0,-0.1,0.9,0.5,-0.5,0
67499aefa88c9300588b9f39,2024-11-29T10:43:58.486Z,0,0,0,-0.1,0.1,0,0
67499aefa88c9300588b9f3a,2024-11-29T10:43:58.503Z,0,0,0,-0.1,0.1,0,0
67499aefa88c9300588b9f3b,2024-11-29T10:43:58.519Z,0,0,0,0,0.3,0.1,0
67499aefa88c9300588b9f3c,2024-11-29T10:43:58.536Z,0,-0.1,0.1,0.7,0.5,-0.2,0
67499aefa88c9300588b9f3d,2024-11-29T10:43:58.553Z,0,-0.1,0.1,1.4,0.4,-0.3,0
67499aefa88c9300588b9f3e,2024-11-29T10:43:58.569Z,0,0,0,1.6,0.1,-0.2,0
67499aefa88c9300588b9f3f,2024-11-29T10:43:58.586Z,0.1,0.1,-0.1,1,0,-0.2,0
67499aefa88c9300588b9f40,2024-11-29T10:43:58.603Z,0,0.1,-0.1,-0.4,-0.1,-0.4,0
67499aefa88c9300588b9f41,2024-11-29T10:43:58.619Z,0,0.1,-0.1,-0.3,0,-0.3,0
67499aefa88c9300588b9f42,2024-11-29T10:43:58.636Z,0,0,0,0,0.2,0.2,0
67499aefa88c9300588b9f43,2024-11-29T10:43:58.653Z,0,0,0,-0.1,0.7,0.6,0
